Device ID, Warm?, Sync, Arm, Timestamp, Orientation_W, Orientation_X, Orientation_Y, Orientation_Z, Acc_X, Acc_Y, Acc_Z, Gyro_X, Gyro_Y, Gyro_Z, Pose, EMG_1, EMG_2, EMG_3, EMG_4, EMG_5, EMG_6, EMG_7, EMG_8,Locked, RSSI, Roll, Pitch, Yaw 
1757856854048,cold,True,right,2025-02-21 12:30:12 612716,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,-11,-7,-19,-25,-16,-5,-2,-7,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 612716,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,2,16,17,24,4,6,21,40,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 622715,0.93359375,-0.26690673828125,-0.19140625,0.14324951171875,0.28466796875,-0.533203125,0.7451171875,-0.125,-4.5,-4.625,rest,13,10,-20,19,34,7,-8,-32,False,0,-0.6143353775243591,-0.2847555332756824,0.3953806249389404
1757856854048,cold,True,right,2025-02-21 12:30:12 622715,0.93359375,-0.26690673828125,-0.19140625,0.14324951171875,0.28466796875,-0.533203125,0.7451171875,-0.125,-4.5,-4.625,rest,-10,0,14,31,15,-2,-11,-9,False,0,-0.6143353775243591,-0.2847555332756824,0.3953806249389404
1757856854048,cold,True,right,2025-02-21 12:30:12 627713,0.93359375,-0.26690673828125,-0.19140625,0.14324951171875,0.28466796875,-0.533203125,0.7451171875,-0.125,-4.5,-4.625,rest,22,-9,10,5,-1,3,3,-1,False,0,-0.6143353775243591,-0.2847555332756824,0.3953806249389404
1757856854048,cold,True,right,2025-02-21 12:30:12 627713,0.93359375,-0.26690673828125,-0.19140625,0.14324951171875,0.28466796875,-0.533203125,0.7451171875,-0.125,-4.5,-4.625,rest,-27,-12,-50,-30,-20,-6,8,24,False,0,-0.6143353775243591,-0.2847555332756824,0.3953806249389404
1757856854048,cold,True,right,2025-02-21 12:30:12 637797,0.9337158203125,-0.2662353515625,-0.192138671875,0.142578125,0.28955078125,-0.50390625,0.75732421875,0.625,-2.5,-4.3125,rest,13,2,-13,-51,-30,-5,-3,-22,False,0,-0.6131891114843687,-0.28680289308791734,0.394407389246245
1757856854048,cold,True,right,2025-02-21 12:30:12 637797,0.9337158203125,-0.2662353515625,-0.192138671875,0.142578125,0.28955078125,-0.50390625,0.75732421875,0.625,-2.5,-4.3125,rest,-21,-11,19,9,17,0,2,-4,False,0,-0.6131891114843687,-0.28680289308791734,0.394407389246245
1757856854048,cold,True,right,2025-02-21 12:30:12 651168,0.9337158203125,-0.2662353515625,-0.192138671875,0.142578125,0.28955078125,-0.50390625,0.75732421875,0.625,-2.5,-4.3125,rest,11,7,-5,5,-2,-6,-5,-4,False,0,-0.6131891114843687,-0.28680289308791734,0.394407389246245
1757856854048,cold,True,right,2025-02-21 12:30:12 652090,0.9337158203125,-0.2662353515625,-0.192138671875,0.142578125,0.28955078125,-0.50390625,0.75732421875,0.625,-2.5,-4.3125,rest,9,25,24,22,8,2,-5,-13,False,0,-0.6131891114843687,-0.28680289308791734,0.394407389246245
